PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,SUM
111,TOTAL SEVEN MAJOR FELONY OFFENSES,1614,1540,1507,1515,1366,1176,1196,1005,1033,938,891,830,879,909,881,17280
112,MURDER & NON NEGL. MANSLAUGHTER                                ,0,0,1,0,4,2,0,3,1,2,1,2,0,0,0,16
112,RAPE                                  ,8,3,6,1,8,11,8,6,3,6,4,11,7,5,7,94
112,ROBBERY                               ,230,217,174,177,198,198,203,114,139,116,119,105,102,76,57,2225
112,FELONY ASSAULT                        ,103,93,75,59,64,75,62,54,74,65,59,62,84,59,60,1048
112,BURGLARY                              ,453,364,374,300,397,226,221,267,186,177,135,150,143,173,114,3680
112,GRAND LARCENY                         ,563,656,725,644,731,785,675,575,522,408,376,492,495,470,412,8529
112,GRAND LARCENY OF MOTOR VEHICLE                                  ,685,638,474,284,273,276,226,163,141,97,101,103,80,60,102,3703
112,TOTAL SEVEN MAJOR FELONY OFFENSES,2042,1971,1829,1465,1675,1573,1395,1182,1066,871,795,925,911,843,752,19295
113,MURDER & NON NEGL. MANSLAUGHTER                                ,12,10,14,17,17,13,6,13,15,12,19,17,16,7,9,197
113,RAPE                                  ,59,53,46,41,50,44,31,36,36,29,25,29,29,18,18,544
113,ROBBERY                               ,398,359,334,313,336,310,392,454,402,368,369,416,354,376,259,5440
113,FELONY ASSAULT                        ,432,394,305,272,314,294,323,332,334,327,352,482,488,459,464,5572
113,BURGLARY                              ,528,465,387,309,318,356,387,413,445,325,421,494,450,396,334,6028
113,GRAND LARCENY                         ,1171,859,651,675,723,737,707,706,725,671,688,687,761,637,570,10968
113,GRAND LARCENY OF MOTOR VEHICLE                                  ,782,526,557,467,407,404,334,318,326,261,264,241,269,162,220,5538
113,TOTAL SEVEN MAJOR FELONY OFFENSES,3382,2666,2294,2094,2165,2158,2180,2272,2283,1993,2138,2366,2367,2055,1874,34287
114,MURDER & NON NEGL. MANSLAUGHTER                                ,13,5,5,8,8,8,8,5,4,4,9,5,6,4,2,94
114,RAPE                                  ,25,34,35,35,40,38,41,19,21,22,16,26,41,29,23,445
114,ROBBERY                               ,612,590,535,487,472,436,450,321,334,313,332,331,321,247,262,6043
114,FELONY ASSAULT                        ,363,382,370,302,302,294,263,305,254,269,283,347,354,308,282,4678
114,BURGLARY                              ,950,872,752,600,551,539,429,448,525,466,482,466,473,383,447,8383
114,GRAND LARCENY                         ,716,772,746,764,927,962,908,933,770,745,642,647,696,709,708,11645
114,GRAND LARCENY OF MOTOR VEHICLE                                  ,1059,873,848,555,599,489,403,327,341,228,263,188,193,205,188,6759
114,TOTAL SEVEN MAJOR FELONY OFFENSES,3738,3528,3291,2751,2899,2766,2502,2358,2249,2047,2027,2010,2084,1885,1912,38047
115,MURDER & NON NEGL. MANSLAUGHTER                                ,5,4,9,7,5,3,5,5,4,8,3,4,5,3,6,76
115,RAPE                                  ,30,26,34,37,40,58,38,36,37,34,33,41,41,35,31,551
115,ROBBERY                               ,544,442,519,395,447,426,425,341,379,347,345,347,338,358,338,5991
115,FELONY ASSAULT                        ,341,318,308,259,276,284,301,261,284,329,325,360,329,341,352,4668
115,BURGLARY                              ,505,506,559,517,492,503,427,408,371,298,296,322,337,306,338,6185
115,GRAND LARCENY                         ,918,892,837,725,650,604,665,623,580,522,517,574,546,592,663,9908
115,GRAND LARCENY OF MOTOR VEHICLE                                  ,678,628,564,427,429,375,308,271,258,236,241,191,173,125,160,5064
115,TOTAL SEVEN MAJOR FELONY OFFENSES,3021,2816,2830,2367,2339,2253,2169,1945,1913,1774,1760,1839,1769,1760,1888,32443
120,MURDER & NON NEGL. MANSLAUGHTER                                ,20,7,9,8,6,9,16,7,13,12,13,12,7,4,7,150
120,RAPE                                  ,41,30,31,31,31,43,40,37,50,44,43,42,39,31,29,562
120,ROBBERY                               ,311,267,265,263,250,290,323,299,319,256,282,247,289,318,196,4175
120,FELONY ASSAULT                        ,435,445,391,274,379,345,302,316,295,298,295,382,477,415,266,5315
120,BURGLARY                              ,620,569,568,465,442,438,369,373,349,306,306,370,401,280,205,6061
120,GRAND LARCENY                         ,444,402,384,454,431,459,425,456,457,375,416,408,494,459,389,6453
120,GRAND LARCENY OF MOTOR VEHICLE                                  ,476,328,320,243,246,228,247,218,209,214,192,169,166,94,73,3423
120,TOTAL SEVEN MAJOR FELONY OFFENSES,2347,2048,1968,1738,1785,1812,1722,1706,1692,1505,1547,1630,1873,1601,1165,26139
121,MURDER & NON NEGL. MANSLAUGHTER                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
121,RAPE                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
121,ROBBERY                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,99,151,250
121,FELONY ASSAULT                        ,0,0,0,0,0,0,0,0,0,0,0,0,0,97,225,322
121,BURGLARY                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,99,134,233
121,GRAND LARCENY                         ,0,0,0,0,0,0,0,0,0,0,0,0,0,215,393,608
121,GRAND LARCENY OF MOTOR VEHICLE                                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,28,60,88
121,TOTAL SEVEN MAJOR FELONY OFFENSES,0,0,0,0,0,0,0,0,0,0,0,0,0,548,979,1527
122,MURDER & NON NEGL. MANSLAUGHTER                                ,3,4,3,0,1,5,2,3,7,3,2,2,2,2,3,42
122,RAPE                                  ,19,6,18,16,10,14,14,8,11,9,18,11,17,12,4,187
122,ROBBERY                               ,126,75,81,86,128,128,103,131,115,108,116,112,126,82,57,1574
122,FELONY ASSAULT                        ,157,141,137,113,137,127,90,89,95,114,141,127,148,102,108,1826
122,BURGLARY                              ,292,242,306,222,258,248,194,293,289,233,203,259,254,215,185,3693
